Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2015-05-09,COOKIES/BARS,Totals,110,0,399,385,0,2,0
2015-05-10,BREAD,H,0,0,0,0,0,0,0
2015-05-10,BREAD,FR,0,0,0,0,0,0,0
2015-05-10,BREAD,GW,0,0,0,0,0,0,0
2015-05-10,BREAD,DK,0,0,0,0,0,0,0
2015-05-10,BREAD,H5,0,0,0,0,0,0,0
2015-05-10,BREAD,BFB,0,0,0,0,0,0,0
2015-05-10,BREAD,CSWRL,0,0,0,0,0,0,0
2015-05-10,BREAD,CnE,0,0,0,0,0,0,0
2015-05-10,BREAD,CnR,0,0,0,0,0,0,0
2015-05-10,BREAD,CnW,0,0,0,0,0,0,0
2015-05-10,BREAD,CH,0,0,0,0,0,0,0
2015-05-10,BREAD,SpF,0,0,0,0,0,0,0
2015-05-10,BREAD,CG,0,0,0,0,0,0,0
2015-05-10,BREAD,JCG,0,0,0,0,0,0,0
2015-05-10,BREAD,VS,0,0,0,0,0,0,0
2015-05-10,BREAD,SOUR,0,0,0,0,0,0,0
2015-05-10,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-05-10,BREAD,IHF,0,0,0,0,0,0,0
2015-05-10,BREAD,CAR,0,0,0,0,0,0,0
2015-05-10,BREAD,GW-BUNS,0,0,0,0,0,0,0
2015-05-10,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-05-10,BREAD,SPF-Buns,0,0,0,0,0,0,0
2015-05-10,BREAD,VS-Buns,0,0,0,0,0,0,0
2015-05-10,BREAD,H-RLS,0,0,0,0,0,0,0
2015-05-10,BREAD,FR-RLS,0,0,0,0,0,0,0
2015-05-10,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-05-10,BREAD,Butt Cof,0,0,0,0,0,0,0
2015-05-10,BREAD,Lemon BP,0,0,0,0,0,0,0
2015-05-10,BREAD,Choc Car,0,0,0,0,0,0,0
2015-05-10,ROLLS,Cinnamon,0,0,0,0,0,0,0
2015-05-10,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-05-10,SCONES,Cherry,0,0,0,0,0,0,0
2015-05-10,SCONES,Str Rhubarb,0,0,0,0,0,0,0
2015-05-10,SCONES,Blueberry,0,0,0,0,0,0,0
2015-05-10,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-05-10,SCONES,Choc Chip,0,0,0,0,0,0,0
2015-05-10,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-05-10,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2015-05-10,FRUIT BARS,Cherry,0,0,0,0,0,0,0
2015-05-10,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-05-10,FRUIT BARS,Str Rhubarb,0,0,0,0,0,0,0
2015-05-10,MUFFINS,Butt Cof Ck,0,0,0,0,0,0,0
2015-05-10,MUFFINS,Lemon BP,0,0,0,0,0,0,0
2015-05-10,MUFFINS,Choc Carm,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Oatmeal CC,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Salted Car,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Snicker,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Triple Choc,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Frosted,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Lemon,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Brownies,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Kahuna,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Cin Stix,0,0,0,0,0,0,0
2015-05-10,COOKIES/BARS,Totals,0,0,0,0,0,0,0
2015-05-11,BREAD,H,0,37,37,21,0,0,16
2015-05-11,BREAD,FR,0,21,21,12,0,0,9
2015-05-11,BREAD,GW,0,15,15,6,0,0,9
2015-05-11,BREAD,DK,0,36,36,16,0,0,20
2015-05-11,BREAD,H5,0,0,0,0,0,0,0
2015-05-11,BREAD,BFB,0,0,0,0,0,0,0
2015-05-11,BREAD,CSWRL,0,28,28,26,0,0,2
2015-05-11,BREAD,CnE,0,22,22,6,0,0,16
2015-05-11,BREAD,CnR,0,4,4,1,0,0,3
2015-05-11,BREAD,CnW,0,6,6,3,0,0,3
2015-05-11,BREAD,CH,0,0,0,0,0,0,0
2015-05-11,BREAD,SpF,0,0,0,0,0,0,0
2015-05-11,BREAD,CG,0,16,16,7,0,0,9
2015-05-11,BREAD,JCG,0,6,6,3,0,0,3
2015-05-11,BREAD,VS,0,0,0,0,0,0,0
2015-05-11,BREAD,SOUR,0,0,0,0,0,0,0
2015-05-11,BREAD,A.SOUR,0,0,0,0,0,0,0
2015-05-11,BREAD,IHF,0,0,0,0,0,0,0
2015-05-11,BREAD,CAR,0,24,24,4,0,0,20
2015-05-11,BREAD,GW-BUNS,0,0,0,0,0,0,0
2015-05-11,BREAD,CG-BUNS,0,0,0,0,0,0,0
2015-05-11,BREAD,SPF-Buns,0,0,0,0,0,0,0
2015-05-11,BREAD,VS-Buns,0,0,0,0,0,0,0
2015-05-11,BREAD,H-RLS,0,3,3,0,0,0,3
2015-05-11,BREAD,FR-RLS,0,3,3,1,0,0,2
2015-05-11,BREAD,VS-RLS,0,0,0,0,0,0,0
2015-05-11,BREAD,Butt Cof,0,4,4,1,0,0,3
2015-05-11,BREAD,Lemon BP,0,10,10,4,0,0,6
2015-05-11,BREAD,Choc Car,0,4,4,2,0,0,2
2015-05-11,ROLLS,Cinnamon,0,12,12,12,0,0,0
2015-05-11,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2015-05-11,SCONES,Cherry,0,0,0,0,0,0,0
2015-05-11,SCONES,Str Rhubarb,0,19,19,17,0,2,0
2015-05-11,SCONES,Blueberry,0,0,0,0,0,0,0
2015-05-11,SCONES,Butt Almd,0,0,0,0,0,0,0
2015-05-11,SCONES,Choc Chip,0,14,14,11,0,3,0
2015-05-11,SCONES,Cin Chip,0,0,0,0,0,0,0
2015-05-11,FRUIT BARS,Blueberry,0,10,10,8,0,2,0
2015-05-11,FRUIT BARS,Cherry,0,10,10,10,0,0,0
2015-05-11,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2015-05-11,FRUIT BARS,Str Rhubarb,0,0,0,0,0,0,0
2015-05-11,MUFFINS,Butt Cof Ck,0,6,6,6,0,0,0
2015-05-11,MUFFINS,Lemon BP,0,12,12,9,0,3,0
2015-05-11,MUFFINS,Choc Carm,0,8,8,5,0,3,0
2015-05-11,COOKIES/BARS,Oatmeal CC,0,19,19,16,3,0,0
2015-05-11,COOKIES/BARS,Salted Car,0,8,8,7,1,0,0
2015-05-11,COOKIES/BARS,Snicker,0,11,11,7,3,0,1
2015-05-11,COOKIES/BARS,Triple Choc,0,19,19,15,3,0,1
2015-05-11,COOKIES/BARS,Frosted,0,12,12,3,0,0,9
2015-05-11,COOKIES/BARS,Lemon,0,20,20,8,0,0,12
2015-05-11,COOKIES/BARS,Brownies,0,0,0,0,0,0,0
2015-05-11,COOKIES/BARS,Kahuna,0,0,0,0,0,0,0
2015-05-11,COOKIES/BARS,Cin Stix,0,0,0,0,0,0,0
2015-05-11,COOKIES/BARS,Totals,0,0,168,122,0,13,0
2015-05-12,BREAD,H,16,26,42,17,0,0,25
2015-05-12,BREAD,FR,9,49,58,14,40,0,4
2015-05-12,BREAD,GW,9,0,9,7,0,2,0
2015-05-12,BREAD,DK,20,0,20,14,0,0,6
2015-05-12,BREAD,H5,0,25,25,11,0,0,14
2015-05-12,BREAD,BFB,0,15,15,7,0,0,8
2015-05-12,BREAD,CSWRL,2,23,25,12,0,0,13
2015-05-12,BREAD,CnE,16,0,16,12,0,4,0
2015-05-12,BREAD,CnR,3,0,3,0,0,3,0
2015-05-12,BREAD,CnW,3,0,3,3,0,0,0
2015-05-12,BREAD,CH,0,0,0,0,0,0,0
